,1.2.1_SI_POV_NAHC,1.3.1_SI_COV_PENSN,1.4.1_SP_ACS_BSRVH2O,1.4.1_SP_ACS_BSRVSAN,1.a.2_SD_XPD_ESED,10.4.1_SL_EMP_GTOTL,10.5.1_FI_FSI_FSLS,10.5.1_FI_FSI_FSKNL,10.5.1_FI_FSI_FSANL,10.5.1_FI_FSI_FSERA,10.a.1_TM_TRF_ZERO,10.b.1_DC_TRF_TOTL,11.6.2_EN_ATM_PM25,12.2.2_EN_MAT_DOMCMPC,12.2.2_EN_MAT_DOMCMPG,12.4.2_EN_EWT_GENPCAP,16.2.2_VC_HTF_DETV,16.3.2_VC_PRS_UNSEC,16.5.2_IC_FRM_BRIB,16.9.1_SG_REG_BRTH,2.1.1_SN_ITK_DEFC,2.2.1_SH_STA_STUNTN,2.2.1_SH_STA_STUNT,2.2.2_SH_STA_OVRWGTN,2.2.2_SH_STA_WASTEN,2.5.1_ER_GRF_ANIMRCNTN,2.a.1_AG_PRD_ORTIND,2.a.1_AG_XPD_AGSGB,2.a.1_AG_PRD_AGVAS,2.a.2_DC_TOF_AGRL,2.c.1_AG_FPA_CFPI,3.1.1_SH_STA_MMR,3.2.1_SH_DYN_IMRTN,3.2.1_SH_DYN_IMRT,3.2.1_SH_DYN_MORTN,3.2.1_SH_DYN_MORT,3.2.2_SH_DYN_NMRTN,3.2.2_SH_DYN_NMRT,3.3.1_SH_HIV_INCD,3.3.2_SH_TBS_INCID,3.3.4_SH_HAP_HBSAG,3.3.5_SH_TRP_INTVN,3.4.1_SH_DTH_NCOM,3.4.1_SH_DTH_RNCOM,3.4.2_SH_STA_SCIDEN,3.4.2_SH_STA_SCIDE,3.5.1_SH_SUD_ALCOL,3.5.2_SH_ALC_CONSPT,3.6.1_SH_STA_TRAF,3.7.1_SH_FPL_MTMM,3.7.2_SP_DYN_ADKL,3.8.2_SH_XPD_EARN10,3.8.2_SH_XPD_EARN25,3.9.1_SH_AAP_ASMORT,3.9.1_SH_HAP_ASMORT,3.9.2_SH_STA_WASH,3.9.3_SH_STA_POISN,3.b.1_SH_ACS_DTP3,3.b.1_SH_ACS_MCV2,3.b.1_SH_ACS_PCV3,3.b.2_DC_TOF_HLTHL,3.b.2_DC_TOF_HLTHNT,3.c.1_SH_MED_HEAWOR,4.1.1_SE_TOT_PRFL,4.1.2_SE_TOT_CPLR,4.5.1_SE_AGP_CPRA,4.5.1_SE_ALP_CPLR,4.5.1_SE_AWP_CPRA,4.b.1_DC_TOF_SCHIPSL,5.5.1_SG_GEN_LOCGELS,5.5.1_SG_GEN_PARL,5.5.2_IC_GEN_MGTL,6.2.1_SH_SAN_DEFECT,6.4.1_ER_H2O_WUEYST,6.4.2_ER_H2O_STRESS,6.5.1_ER_H2O_IWRMD,6.6.1_EN_WBE_PMPR,6.a.1_DC_TOF_WASHL,6.b.1_ER_H2O_RURP,7.1.1_EG_ELC_ACCS,7.1.2_EG_EGY_CLEAN,7.2.1_EG_FEC_RNEW,7.3.1_EG_EGY_PRIM,8.1.1_NY_GDP_PCAP,8.10.1_FB_ATM_TOTL,8.10.1_FB_CBK_BRCH,8.10.2_FB_BNK_ACCSS,8.2.1_SL_EMP_PCAP,8.6.1_SL_TLF_NEET,8.a.1_DC_TOF_TRDCML,8.a.1_DC_TOF_TRDDBML,9.1.2_IS_RDP_FRGVOL,9.1.2_IS_RDP_PFVOL,9.2.1_NV_IND_MANF,9.2.1_NV_IND_MANFPC,9.2.2_SL_TLF_MANF,9.3.2_FC_ACC_SSID,9.a.1_DC_TOF_INFRAL,9.b.1_NV_IND_TECH,9.c.1_IT_MOB_2GNTWK,9.c.1_IT_MOB_3GNTWK,9.c.1_IT_MOB_4GNTWK,Human Development Index
Georgia,21.9,95.8,98.18,89.34,12.95,49.51,27.14,6.43,2.68,3.06,76.9,1016.78,22.61,1.2,0.29,7.27,3.0,11.5,2.22,99.6,8.2,28.79,11.3,50.69,4.08,0.0,0.26,1.73,6.76,45.23,-0.1,25.0,316.67,8.7,357.33,9.8,317.0,5.9,0.22,80.0,0.3,412310.0,25.23,7811.25,215.33,8.37,4.8,8.47,15.3,50.5,32.3,29.21,8.98,66.0,42.0,0.2,0.83,93.0,96.0,81.0,3.14,2.33,31.78,52.15,97.53,1.0,0.98,0.95,5.54,13.46,14.09,35.68,0.0,6.38,5.9,35.0,0.45,61.1,2.0,100.0,81.0,28.66,5.57,4.99,77.53,31.48,61.11,5.8,27.03,408.43,264.32,1102850622.55,7218330823.12,10.85,449.0,6.2,41.33,480.23,8.58,99.98,99.98,99.72,0.802
Germany,14.214400000000003,100.0,100.0,99.17,10.93,60.33,151.7,9.13,1.24,0.32,56.99,14435.228999999994,11.83,2.59,0.05,19.37,536.0,23.6,6.903800000000005,100.0,2.5,61.27,1.7,115.32,10.81,0.0,1.082,2.4659000000000004,1.5353000000000006,106.01830000000004,0.3,7.0,1590.0,3.07,1871.33,3.67,1694.0,2.2,0.03,7.3,0.2,132.0,12.07,110418.83,7430.0,13.67,6.87,13.01,4.1,75.47449999999998,5.7,1.72,0.11,16.0,5.15,0.6,0.17,93.0,93.0,84.0,34.17830000000002,31.18189999999999,47.46,82.57,86.6,1.01,1.02,0.89,19.618,27.52,31.17,29.39,0.0,129.17,33.5,88.0,1.11,112.21550000000005,1.37,100.0,95.0,15.25,3.47,0.96,118.73,11.17,99.14,-0.1,5.93,445.81809999999996,909.1281000000002,122180889480.0,451824963753.4,20.8,8980.0,19.1,42.546900000000015,1701.0310999999995,61.68,99.0,95.7,98.2,0.942
Ghana,23.97,19.0,80.55,18.05,18.6,47.82,78.07,11.19,18.19,3.39,76.78,1523.0,31.51,1.3,0.56,1.75,284.0,12.5,18.74,70.5,6.5,712.18,17.5,56.97,276.73,0.0,0.04,1.02,26.98,185.74,0.0,308.0,20190.0,34.87,27569.33,47.8,20959.0,23.9,0.75,148.0,3.6,16582444.0,20.73,10789.0,1010.0,5.4,4.13,2.77,24.9,46.3,75.1,1.11,0.09,85.0,149.0,18.8,1.67,97.0,83.0,96.0,164.95,158.89,10.91,4.81,50.48,0.85,0.74,0.28,9.9,3.8,13.09,41.79,18.91,18.32,5.3,49.0,2.54,61.11,3.0,78.11,28.0,40.03,3.28,3.96,11.51,8.54,57.74,5.2,25.07,421.32,447.96,2419476039.81,11499852294.29,11.73,242.2,14.0,16.79,341.84,0.8,96.79,80.0,34.86,0.632
Greece,16.431900000000006,77.4,100.0,98.78,8.7,50.34,26.46,157.6,41.99,-0.04,72.94,1659.2882,16.05,1.77,0.08,16.94,26.0,31.1,7.437600000000002,100.0,2.5,1849.8174,6.722,149.46049999999997,568.9799999999999,0.0,0.17,0.64,3.72,53.43710000000001,-0.3,3.0,199.33,3.6,248.0,4.47,210.0,2.6,0.07199999999999998,4.5,0.4,51.0,12.47,14962.33,371.33,5.03,6.13,10.27,9.2,62.6725,8.6,16.89,1.62,22.0,6.0,0.0,0.2,99.0,83.0,96.0,35.41670000000001,31.6226,28.58,76.11,96.57,0.99,0.97,0.91,6.313799999999995,23.208400000000005,20.67,27.48,1.03,15.15,22.7,83.0,2.27,97.67380000000003,1.9,100.0,95.0,16.07,3.68,2.39,62.31,20.87,85.49,0.3,14.1,341.7104,361.18429999999995,7426727250.0,38513082527.18,8.97,1774.1,9.4,31.25,375.22860000000003,20.03,99.9,99.7,98.8,0.887
Grenada,22.75320000000001,34.0,95.63,91.49,14.04,48.2051,48.19,10.86,2.4,0.97,81.79,38.32,21.67,1.02,0.13,8.76,21.06,19.6,6.61,95.95799999999997,6.883000000000003,248.65979999999996,11.269699999999998,5.929599999999998,63.34759999999997,0.0,0.31,1.61,5.26,0.39,-0.2,25.0,16.67,13.7,18.67,15.2,18.0,9.9,2.6487999999999987,2.1,0.5,463.0,21.4,84.25,1.33,1.7,6.6,9.49,9.3,59.83399999999994,35.9,8.335000000000004,1.3522999999999998,41.0,6.0,0.3,0.37,96.0,74.0,78.35,0.02,-0.02,21.31,49.07109999999999,75.98500000000001,1.0311,0.8618999999999996,0.5954,0.13,39.900899999999986,46.67,45.47729999999999,3.54,36.51399999999999,7.1,25.0,1.9924999999999988,0.01,1.46,94.42,89.0,12.59,2.92,3.6,43.43,23.48,60.65710000000001,3.074999999999999,25.490500000000008,12.1,10.73,0.0,868589142.7,3.38,352.1,8.045,64.43,6.95,15.270499999999991,81.85,81.85,81.85,0.795
Guatemala,59.2,26.83,94.16,64.93,23.75,38.82,24.37,4.95,2.18,1.45,62.29,689.53,23.91,1.24,0.4,4.28,333.0,54.4,2.84,96.4,16.1,931.48,46.71,98.59,15.0,0.0,0.22,2.15,9.98,41.62,-0.2,95.0,6196.67,22.03,7340.0,26.13,5212.0,12.3,0.13,26.0,0.1,4957871.0,14.93,5203.0,298.67,2.73,6.53,2.48,16.6,66.1,78.9,1.36,0.04,32.0,51.0,6.3,1.1,86.0,76.0,85.0,19.39,19.29,1.11,38.54,53.58,0.9,0.85,0.3,0.58,10.59,18.99,29.72,4.72,17.89,5.7,25.0,1.08,24.79,0.0,93.25,46.0,64.22,4.57,1.15,34.91,26.25,44.19,0.6,27.03,59.54,72.38,2179763505.55,50146529528.65,18.47,756.5,12.7,46.64,234.03,22.4,100.0,95.0,40.35,0.627
Guinea,51.77,2.0,65.39,24.35,14.87,58.09,42.62,37.5,12.15,2.04,72.85,752.38,22.33,0.75,0.93,0.8,30.0,55.4,7.93,62.0,23.686999999999998,612.6,30.33,113.43,185.85,0.0,0.20870000000000005,4.840300000000003,27.64739999999999,32.38,0.4,576.0,19235.33,64.8,29529.33,100.7,14091.0,31.1,0.59,176.0,7.5,7480197.0,22.37,4569.5,516.67,6.27,0.7,1.11,28.2,21.5,120.0,6.97,1.25,81.0,196.0,44.6,2.97,45.0,49.0,56.16,72.56,70.74,0.55,24.99029999999998,29.15,0.48,0.26,0.1,4.27,15.43,22.81,29.073800000000006,12.41,11.02,0.9,24.0,0.07,28.83,3.0,42.49,5.0,77.03,5.85,2.81,2.5,2.78,23.47,2.3,6.23,293.67,124.29,1345201222.47,4113108331.15,9.3,85.7,2.8,8.74,109.79,8.9067,79.0,31.0,18.5,0.465
Guinea-Bissau,65.3,5.0,68.07,21.89,16.19,39.4,75.2009,10.871699999999999,11.987300000000003,2.8015000000000003,56.03,153.9,26.81,0.9,1.48,0.54,76.01,47.571,27.63,23.7,26.35199999999999,77.16,27.61,6.5,16.66,0.0,0.1,4.64,46.79,16.07,-0.3,667.0,2340.0,53.9,3503.33,81.37,2406.0,36.6,1.41,361.0,2.1,1206042.0,20.03,563.67,48.33,4.0,1.03,5.45,31.1,55.7,106.4,5.49,1.44,78.0,169.0,35.3,2.2,88.0,72.52,88.0,25.36,24.96,2.05,17.21049999999999,14.58,0.59,0.34,0.09,1.43,17.2877,13.73,29.678799999999978,15.62,2.14,1.5,29.2525,0.2,3.41,0.0,27.88,5.0,86.5,10.82,1.24,4.72,3.05,28.78980000000001,1.8,21.168799999999997,110.57,62.91,94451548.9,764517885.57,10.14,67.6,4.931,2.52,48.52,8.069199999999999,91.4,30.0,21.44,0.483
Guyana,31.135599999999997,100.0,96.49,86.99,16.0,55.01,58.79399999999999,14.337099999999996,7.570699999999999,2.4047999999999985,63.5,115.92,21.04,5.64,1.48,6.33,110.0,32.0,14.88,88.7,5.7,8.4,11.27,3.91,4.79,0.0,0.75,9.7,12.92,2.51,-0.40599999999999986,169.0,260.0,25.07,312.67,30.07,283.0,18.2,0.53,83.0,1.0,719312.0,30.57,590.58,150.67,29.1,7.17,6.88,24.6,51.5,73.7,7.678500000000001,1.5177999999999994,65.0,52.0,3.6,0.7,95.0,84.0,91.0,2.71,2.5,4.72,34.11329999999998,75.48,0.97,0.75,0.59,1.07,33.34990000000002,34.78,37.86,0.48,1.93,3.3,16.0,1.2832999999999999,9.89,1.0,92.11,76.0,22.53,6.42,2.92,20.74,8.23,47.15389999999998,3.4,35.2,98.71,67.72,170810743.43,565082401.81,5.15,239.2,7.7,43.21,65.54,9.120599999999998,97.3,93.2,50.0,0.714
Haiti,58.0,1.0,64.25,34.13,14.44,48.41,62.22930000000003,9.034499999999994,10.085999999999999,2.9884999999999997,65.9,989.04,14.67,0.44,0.6,0.8480999999999997,91.29,62.8,29.332200000000007,84.8,48.2,279.1,21.95,42.87,47.33,0.0,0.20649999999999996,4.7874,26.81829999999999,111.9,-0.9,480.0,8877.33,49.43,11649.33,64.73,7044.0,26.0,0.74,176.0,2.0,5771386.0,26.57,6762.92,843.33,11.73,7.0,2.76,18.3,45.4,54.8,11.54,3.98,57.0,149.0,23.8,2.6,64.0,38.0,1.0,71.36,70.02,2.41,23.42109999999998,32.69,1.0,0.74,0.09,4.54,14.0462,2.54,23.95,20.61,4.92,13.38,29.0,0.77,47.41,1.0,41.57,5.0,76.13,10.35,0.2,2.11,2.69,32.67,-1.8,18.2,424.89,222.57,15730955.21,49324101171.59,7.8,60.3,1.4,18.09370000000001,104.97,5.26,61.0,60.0,30.0,0.535
Honduras,61.9,56.9,94.37,80.85,22.95,65.7,38.21,-5.76,2.15,1.84,81.31,-388.83,20.79,0.98,0.44,2.59,47.0,55.4,8.75,93.6,13.8,230.97,22.62,52.61,13.97,0.0,0.29529999999999995,3.1404999999999985,11.444900000000002,57.3,-0.5,65.0,2078.67,15.07,2418.67,17.57,1993.0,9.6,0.09,37.0,0.3,2721691.0,14.07,2984.83,178.67,2.93,6.7,3.78,16.7,76.0,88.7,1.14,0.1,29.0,38.0,3.6,0.4,90.0,94.0,90.0,9.47,7.98,2.83,39.01,58.55,1.14,0.56,0.5,0.68,27.9,21.09,51.35,6.42,11.98,4.6,21.0,0.77,10.5,3.0,85.38,57.0,53.27,5.99,2.03,24.3,18.89,45.51,0.6,26.83,252.15,354.2,1114331742.57,27057911182.04,17.4,436.7,13.6,39.21,308.06,7.16,90.74,78.36,67.46,0.621
Hungary,14.9,100.0,100.0,98.11,10.07,47.61,41.64,3.19,2.47,1.95,71.65,1915.0246999999995,15.94,2.99,0.19,13.61,386.0,20.3,2.12,100.0,2.5,256.00140000000005,6.7181000000000015,122.18229999999993,92.34429999999996,0.0,0.41,1.52,3.55,40.5361,-0.1,12.0,218.0,3.57,260.0,4.27,208.0,2.3,0.03,6.4,0.4,0.0,23.23,17300.0,1244.0,19.47,21.77,11.61,7.8,61.45499999999997,22.9,7.38,0.31,39.0,6.44,0.2,0.27,99.0,99.0,99.0,29.74170000000002,29.875500000000002,29.6,78.4,92.5,0.97,0.97,0.83,9.149099999999999,30.51,12.06,38.57,0.0,23.59,8.7,73.0,1.28,58.0862,2.0,100.0,95.0,14.33,4.24,5.34,60.6,14.21,75.09,4.7,10.77,387.8259000000001,376.78679999999986,12723020590.5,45200457506.67,21.46,3188.3,22.5,27.23,571.1077,56.59,99.2,99.2,99.2,0.846
Iceland,17.353899999999992,72.63,100.0,99.16,16.84,61.35,23.32,6.57,2.51,1.62,75.54,1221.3864999999992,5.9,2.79,0.05,21.41,62.64,10.5,4.864600000000001,100.0,2.5,274.9193,6.024900000000002,36.630700000000026,87.48419999999996,0.0,0.61,2.48,4.52,38.10589999999999,-0.9,4.0,4.0,1.53,5.33,1.97,4.0,1.0,0.07,2.7,0.9,0.0,9.07,256.83,31.0,13.97,4.37,9.12,6.6,62.87700000000002,6.0,8.572700000000003,1.1144999999999998,9.0,5.81,0.1,0.2,91.0,95.0,90.0,30.077600000000007,29.638900000000017,54.15,82.05,84.5,1.14,0.95,1.02,4.0838,47.01,38.1,41.46,0.0,57.27,0.4,52.0,2.72,72.292,1.9,100.0,95.0,76.69,13.94,3.89,86.08,31.4,96.83290000000007,0.4,4.9,312.5989,364.0658,339661527.04,11071003892.88,8.79,5305.9,9.1,45.5674,280.6132,13.9,99.0,99.0,98.2,0.959
India,20.43,25.2,93.22,61.6,14.05,49.0,22.34,26.92,9.46,-0.01,38.39,14938.18,66.59,0.98,0.5,2.39,152.0,67.7,22.66,79.7,14.0,40311.86,34.7,1858.76,20097.84,0.0,0.43,6.51,14.6,609.64,-1.5,145.0,480353.33,29.93,587996.67,36.57,549227.0,22.7,0.35100000000000003,199.0,0.5,696937272.0,23.27,788566.67,143914.67,16.27,4.83,5.47,22.6,72.8,10.7,17.33,3.9,109.0,110.0,18.6,2.37,89.0,80.0,6.0,242.66,131.61,9.17,47.67,70.56,0.92,1.08,0.51,20.0,44.37,14.36,13.67,22.28,2.78,66.5,47.8425,0.56,594.9,2.0,93.71,49.0,32.2,4.23,5.71,21.64,14.5,79.84,4.8,31.0,7226.47,3472.69,758686977509.56,1107901627789.26,15.48,314.9,12.2,27.98,7150.04,42.87,97.0,94.0,94.0,0.633
Indonesia,10.6,14.1,88.93,72.64,20.5,38.06,31.97,4.38,2.29,2.51,52.58,8943.05,16.01,1.32,0.32,6.06,441.0,30.7,30.62,71.9,9.0,7426.84,30.5,1948.02,2483.73,0.0,0.08,1.05,13.36,222.91,-1.2,177.0,68057.33,21.07,80779.33,24.97,61592.0,12.7,0.24,316.0,1.1,100847287.0,26.43,179644.25,5985.67,3.4,0.83,0.57,12.2,77.0,36.0,2.71,0.51,51.0,71.0,7.1,0.4,79.0,67.0,8.0,81.25,55.19,7.46,35.48,81.34,1.02,0.93,0.66,54.95,14.37,20.35,27.46,10.07,3.46,29.7,48.0,1.64,120.02,2.0,97.93,80.0,35.0,3.46,3.98,54.38,16.14,48.82,3.7,21.8,1783.3,1438.73,89974515687.47,324025721314.65,20.83,807.7,14.4,34.31,2592.83,35.35,98.71,97.7,97.59,0.705
Iraq,21.43,56.0,95.48,92.95,13.974100000000005,27.33,58.454799999999985,10.762100000000002,8.9514,1.445200000000001,43.95,3820.39,58.91,1.19,0.22,7.12,62.91,36.70800000000001,37.27,98.8,23.7,683.28,12.64,327.28,163.71,0.0,0.27040000000000003,3.213000000000002,15.065499999999995,4.34,0.2240000000000001,79.0,16576.67,22.4,19658.67,26.67,17056.0,15.3,0.16150000000000003,42.0,0.1,2170486.0,21.4,13932.0,751.67,3.0,0.4,0.39,20.7,53.7,82.1,3.29,0.43,72.0,4.0,3.0,0.5,84.0,81.0,32.0,8.24,8.24,8.36,28.4986,38.9,0.86,0.8,0.28,6.59,25.69,26.44,21.84,0.02,4.83,54.1,25.0,1.0,90.59,1.94,100.0,95.0,0.43,4.33,-3.23,3.83,4.38,22.66,0.1,41.0,173.44,180.03,9870823039.51,41942423657.48,2.36,110.1,9.84,3.72,248.97,6.91,100.0,94.57,0.0,0.686
Ireland,15.773300000000006,81.73,97.49,91.66,13.41,36.58,35.78,17.96,5.73,0.93,71.8,3314.5745999999995,8.46,2.38,0.03,18.67,95.0,18.7,5.471700000000001,100.0,2.5,260.0366,5.034300000000001,508.35440000000017,86.52729999999995,0.0,1.08,1.11,0.92,43.18200000000001,-0.4,5.0,131.33,3.1,154.67,3.67,141.0,2.3,0.07,7.0,0.0,0.0,10.3,3536.58,362.0,11.53,8.53,12.96,4.1,75.97349999999999,7.2,6.4,0.69,12.0,6.29,0.1,0.2,94.0,93.22,90.0,33.301700000000004,31.305199999999992,53.11,88.52,95.59,1.03,0.97,0.97,16.650599999999997,23.92,20.89,36.02,0.0,204.14,3.6,81.0,2.2,68.41440000000003,1.93,100.0,95.0,10.22,1.8,6.7,79.01,20.5,95.34,2.2,10.07,397.6502000000001,344.5001999999999,2948677925.0,90804488959.87,35.39,26959.5,11.0,34.904700000000005,475.3767000000002,54.32,99.0,95.0,90.0,0.945
Israel,13.9901,100.0,100.0,100.0,15.45,53.19,128.02,0.42,1.23,0.95,65.07,1619.3613999999998,19.41,2.16,0.06,14.53,47.0,26.6,0.08,100.0,2.5,282.82480000000004,5.5654,113.70630000000004,87.20730000000002,0.0,0.47,0.54,1.14,34.8647,-0.3,3.0,334.67,3.0,421.33,3.73,327.0,1.9,0.06,4.0,0.5,276.0,9.63,4696.67,293.33,5.4,5.93,4.24,4.2,72.13949999999998,9.9,6.72,0.95,15.0,4.85,0.2,0.13,98.0,96.0,94.0,29.77460000000001,29.786800000000003,16.21,75.17,95.61,1.04,1.02,0.94,6.317400000000001,17.13,23.33,34.54,0.0,125.67,103.1,85.0,2.12,82.79850000000005,1.97,100.0,95.0,3.84,3.33,1.74,128.36,17.35,92.8,1.4,14.7,303.5906,364.55199999999985,3368183800.97,22210416858.22,11.92,4824.3,11.2,50.94,474.53549999999996,42.4,99.0,99.0,90.0,0.919
Italy,14.439400000000003,94.17,99.43,98.75,7.81,57.45,76.07,40.15,8.39,0.46,54.23,9596.0257,15.51,1.91,0.05,17.5,663.0,18.1,7.813200000000004,100.0,2.5,274.1685,5.453000000000002,277.1323000000001,114.96169999999996,1.0,0.2,0.4,1.94,94.52440000000004,0.2,2.0,800.0,2.6,944.67,3.03,905.0,2.0,0.06,7.0,0.6,147.0,9.57,77792.42,3257.33,8.27,1.33,7.94,5.6,68.0165,4.4,9.29,1.08,15.0,5.56,0.1,0.27,95.0,89.0,92.0,31.76150000000001,30.167199999999998,29.09,76.41,91.36,1.05,0.98,0.91,15.641800000000003,31.78,35.71,26.99,0.0,48.85,30.0,55.0,1.24,107.01500000000004,1.44,100.0,95.0,16.43,3.0,0.85,91.03,40.88,93.85,-0.5,19.2,359.5733,721.6812,33820751182.75,309912580032.67,14.78,4635.1,18.4,25.94,1371.6989999999996,42.96,100.0,100.0,99.0,0.895
Jamaica,18.53,30.3,90.26,87.46,18.58,63.64,37.729199999999985,12.694600000000007,7.226399999999999,1.8114999999999986,81.09,132.44,13.45,1.22,0.25,6.22,5.0,29.4,19.3,98.0,8.7,14.11,6.0,19.52,8.47,0.0,0.28,1.65,5.97,20.32,-0.4,80.0,391.33,12.37,455.33,14.4,483.0,10.2,0.1889999999999999,2.9,0.2,988.0,14.7,2125.83,41.33,2.17,5.23,4.24,13.6,79.2,51.7,10.2,2.88,18.0,8.0,0.6,0.2,97.0,82.0,96.07,2.01,1.99,5.56,45.18489999999999,87.93,0.95,0.87,0.59,1.35,18.42,17.46,56.69,0.49,8.65,12.5,43.0,0.19,0.63,3.0,99.47,84.0,12.36,4.77,1.45,34.32,7.24,78.47,-1.2,23.980499999999996,52.93,40.17,388863596.55,12585021433.62,7.61,385.4,6.5,33.0,44.05,18.77,100.0,98.0,73.0,0.709
Japan,14.069100000000006,100.0,99.01,99.89,8.38,54.19,108.80420000000005,24.89840000000001,6.203800000000001,0.6497000000000002,46.5,13464.10799999999,11.64,1.58,0.03,20.36,50.0,11.3,7.514000000000002,100.0,2.5,394.34,7.1,83.31,127.75,0.0,0.48099999999999987,2.137600000000001,1.9616000000000011,106.62290000000002,-0.5,5.0,1156.0,1.8,1616.0,2.5,807.0,0.9,0.01,14.0,2.0,5.0,8.43,147979.42,15789.33,18.63,3.5,8.05,4.1,70.43700000000001,3.4,4.36,0.61,12.0,7.24,0.2,0.43,99.0,93.0,98.0,34.013900000000014,30.387700000000006,42.9,89.12,77.01599999999999,1.0397,0.9391000000000002,0.6634000000000002,18.7645,12.87,9.91,14.93,0.0,53.84,37.3,94.0,2.16,125.76270000000001,1.79,100.0,95.0,6.9,3.67,1.03,127.38,34.01,98.25,1.2,2.87,427.3122000000001,781.5664,62368514734.69,502734332439.79,21.13,7644.8,16.3,37.412900000000015,1663.7923999999998,56.77,99.9,99.9,99.0,0.925
Jordan,15.03,47.83,98.57,97.02,11.61,36.5,36.75,5.8,5.39,1.39,73.48,3159.66,31.87,1.35,0.41,5.45,14.0,41.1,12.68,98.0,8.5,84.79,7.78,51.65,26.39,0.0,0.13,0.72,5.63,14.93,-1.0,46.0,2000.67,13.87,2331.33,16.13,2050.0,9.5,0.0,5.0,1.0,151.0,19.2,3536.5,182.0,2.9,0.4,0.69,24.4,56.7,27.0,1.72,0.25,50.0,1.0,0.6,0.63,96.0,96.0,89.63,27.9,24.54,18.65,49.65,80.83,1.07,1.01,0.74,12.76,31.85,15.38,18.502199999999995,0.41,34.98,100.1,63.0,0.5,323.8,2.0,100.0,95.0,5.06,4.78,0.11,29.44,14.54,41.79,-0.2,25.579600000000006,98.66,361.26,3185498820.57,14187263507.44,18.75,764.3,14.2,12.56,733.03,23.66,99.98,99.8,99.0,0.72
Kazakhstan,2.73,82.6,95.34,97.97,13.88,41.01,90.76,8.39,7.39,3.16,75.27,-8342.2,12.9,5.14,0.47,9.17,153.0,10.9,26.7,99.7,2.5,157.02,8.04,182.62,60.57,0.0,0.38,1.68,4.4,15.59,0.3,10.0,2266.0,8.8,2550.0,9.9,2150.0,5.6,0.12,68.0,0.2,40.0,27.37,17964.83,2698.67,22.8,6.17,4.87,17.6,73.2,25.6,2.56,0.13,53.0,11.0,0.4,2.3,98.0,98.0,95.0,5.93,5.93,30.94,66.15,90.48,0.91,0.78,0.64,4.39,22.19,27.1,36.96,0.0,7.12,31.1,30.0,5.73,0.74,3.0,100.0,95.0,1.62,8.19,2.74,84.26,2.49,58.63,3.4,9.5,13.5,8.38,117145693774.37,26969114225.61,10.26,1159.4,6.8,13.72,299.51,13.35,96.6,87.9,75.3,0.811
Kenya,39.63,13.2,64.39,30.25,19.1,43.92,38.28,10.15,11.69,3.43,72.68,3221.69,25.82,0.61,0.52,1.04,352.0,38.8,23.86,66.9,23.0,1842.44,26.19,291.64,293.86,0.0,0.05,1.77,34.19,212.16,-0.1,342.0,29968.0,30.57,40221.33,41.07,28911.0,19.6,1.17,292.0,0.9,11645569.0,13.43,9094.67,1021.33,3.17,4.0,2.8,27.8,77.6,96.0,5.43,1.48,30.0,60.0,51.2,1.8,92.0,45.0,81.0,175.51,169.19,3.41,46.35,64.94,0.97,0.92,0.45,7.95,33.54,21.78,24.78,8.55,11.25,33.2,53.0,2.05,276.36,3.0,67.48,10.0,71.77,7.61,3.9,9.15,5.0,81.72,2.1,13.7,552.93,926.51,3664095904.59,21396805607.31,8.34,126.6,3.6,36.83,883.44,14.98,96.0,86.0,35.0,0.575
Kuwait,15.314100000000002,41.9,100.0,100.0,13.37,29.4,30.68,5.56,1.62,1.44,68.78,2720.6594,58.05,5.24,0.16,15.83,5.0,5.3,9.945300000000005,99.30599999999998,2.5,19.5,6.4,16.76,7.62,0.6,0.94,0.51,0.54,34.89150000000001,-1.1,12.0,258.67,6.7,304.67,7.87,257.0,4.5,0.04,23.0,0.1,13.0,17.07,1145.5,63.0,2.27,0.37,0.0,17.6,64.25049999999997,6.3,9.900800000000002,1.2067999999999999,104.0,4.3,0.0,0.17,99.0,99.0,99.0,22.09819999999999,21.296999999999997,28.07,29.45,73.79619999999998,0.9615999999999996,0.9188,0.5861000000000002,5.665699999999995,17.14140000000001,6.35,13.61,0.0,113.58,2075.0,82.0,0.5,77.80160000000002,1.65,100.0,95.0,0.0,5.32,-0.75,73.26,14.73,78.87,-1.1,24.110400000000006,330.91290000000004,357.0272999999998,4862843517.08,29187648471.58,8.23,2265.3,4.4,28.749100000000002,328.6323999999999,32.87,100.0,100.0,100.0,0.831
Kyrgyzstan,29.5,100.0,88.86,95.82,15.73,39.44,66.93,11.12,7.3,1.61,72.6,459.61,17.74,1.48,1.35,1.55,4.0,16.4,59.77,98.9,6.4,92.58,11.75,54.5,16.01,0.0,0.13,1.55,11.65,21.77,0.1,60.0,1762.0,16.87,1978.0,18.9,2057.0,13.2,0.08,116.0,0.5,113625.0,25.2,4191.92,329.33,8.33,5.97,6.33,15.4,64.0,33.9,3.47,0.72,74.0,43.0,0.8,0.6,94.0,96.0,92.0,25.88,23.93,20.96,31.01,78.22,0.81,0.55,0.45,2.92,21.447999999999997,19.17,37.78,0.0,0.83,51.3,35.3425,3.77,8.4,2.0,100.0,77.0,24.54,7.65,1.58,37.05,8.1,39.99,2.9,20.63,240.52,117.13,1297562561.1,5013618343.66,14.21,173.3,7.6,20.21,122.24,2.71,99.2,88.0,70.0,0.692
